year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,party,candidatevotes,totalvotes,unofficial
1982,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DAVE CARLSON,democrat,FALSE,DEMOCRAT,52011,181084,FALSE
1982,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DON YOUNG,republican,FALSE,REPUBLICAN,128274,181084,FALSE
1982,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,NA,NA,TRUE,NA,799,181084,FALSE
1984,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DONALD E. YOUNG,republican,FALSE,REPUBLICAN,113582,206437,FALSE
1984,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,PEGGE BEGICH,democrat,FALSE,DEMOCRAT,86052,206437,FALSE
1984,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,OTHER,,FALSE,,295,206437,FALSE
1984,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,BETTY BRECK,independent,FALSE,INDEPENDENT,6508,206437,FALSE
1986,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DON YOUNG,republican,FALSE,REPUBLICAN,101799,180277,FALSE
1986,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,PEGGE BEGICH,democrat,FALSE,DEMOCRAT,74053,180277,FALSE
1986,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,BETTY (BELLE BLUE) BRECK,libertarian,FALSE,LIBERTARIAN,4182,180277,FALSE
1986,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,NA,NA,TRUE,NA,243,180277,FALSE
1988,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,NA,NA,TRUE,NA,479,192955,FALSE
1988,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DON YOUNG,republican,FALSE,REPUBLICAN,120595,192955,FALSE
1988,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,PETER GRUENSTEIN,democrat,FALSE,DEMOCRAT,71881,192955,FALSE
1990,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,JOHN S. DEVENS,democrat,FALSE,DEMOCRAT,91677,191647,FALSE
1990,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,NA,NA,TRUE,NA,967,191647,FALSE
1990,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DON YOUNG,republican,FALSE,REPUBLICAN,99003,191647,FALSE
1992,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,MICHAEL STATES,alaskan independence,FALSE,ALASKAN INDEPENDENCE,15049,239116,FALSE
1992,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,MIKE MILLIGAN,green,FALSE,GREEN,9529,239116,FALSE
1992,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,NA,NA,TRUE,NA,311,239116,FALSE
1992,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DON YOUNG,republican,FALSE,REPUBLICAN,111849,239116,FALSE
1992,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,JOHN DEVENS,democrat,FALSE,DEMOCRAT,102378,239116,FALSE
1994,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,TONY SMITH,democrat,FALSE,DEMOCRAT,68172,208240,FALSE
1994,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,JONI (JONNI) WHITMORE,green,FALSE,GREEN,21277,208240,FALSE
1994,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,DON YOUNG,republican,FALSE,REPUBLICAN,118537,208240,FALSE
1994,ALASKA,AK,2,94,81,US HOUSE,0,gen,FALSE,NA,NA,TRUE,NA,254,208240,FALSE
